Title,Link,Views,Uploaded_by,Time_duration
Coding Was HARD Until I Learned These 3 Things...,https://www.youtube.com/watch?v=IlS1aR_gfzs,23K views,1 day ago,    10:43  
Day In The Life Of a Programmer… In Singapore,https://www.youtube.com/watch?v=c8vd7ogxh7g,14K views,10 days ago,    7:43  
Python 101:  Learn These MUST KNOW List Features,https://www.youtube.com/watch?v=s46yyTKvl-I,43K views,2 weeks ago,    22:15  
Building A Machine Learning Resume Project From Scratch,https://www.youtube.com/watch?v=lVbElR_HwXQ,28K views,3 weeks ago,    11:31  
How To Stay Motivated When Learning to Code,https://www.youtube.com/watch?v=44en4a5fPZw,25K views,4 weeks ago,    9:25  
Intermediate Python Tutorial | Gravitational Slingshot Simulation,https://www.youtube.com/watch?v=HTfwhmHVpqM,20K views,1 month ago,    52:44  
These 7 Coding Skills Give You an UNFAIR Advantage,https://www.youtube.com/watch?v=bYYd_IlOb9k,373K views,1 month ago,    7:55  
Create a Python GPT Chatbot - In Under 4 Minutes,https://www.youtube.com/watch?v=q5HiD5PNuck,35K views,1 month ago,    3:56  
Beginner React Tutorial | Building a React Trivia Game,https://www.youtube.com/watch?v=Z-7DRZT4DKA,8.7K views,1 month ago,    1:06:54  
Python Simulation Tutorial - Conway's Game of Life,https://www.youtube.com/watch?v=YDKuknw9WGs,21K views,1 month ago,    41:13  
Python AI Choose Your Own Adventure Game - Tutorial,https://www.youtube.com/watch?v=nhYcTh6vw9A,48K views,1 month ago,    31:09  
Manage Your Email With GPT4 - Full Tutorial,https://www.youtube.com/watch?v=aOAyv2NAK1c,19K views,1 month ago,    21:29  
Coding Automation Project Ideas,https://www.youtube.com/watch?v=UR9C2DLHkHk,30K views,1 month ago,    12:50  
How Much To Charge as a Freelance Developer ($ -$$$),https://www.youtube.com/watch?v=vYn-WJzBfcM,25K views,2 months ago,    15:31  
How To Structure A Programming Project…,https://www.youtube.com/watch?v=CAeWjoP525M,52K views,2 months ago,    19:00  
The Million Dollar Tech Stack,https://www.youtube.com/watch?v=MM9ukNfvn2I,32K views,2 months ago,    17:59  
